osmid,y,x,street_count,highway,ref,geometry
126617354,41.1594394,-8.6010628,4,traffic_signals,,POINT (-8.6010628 41.1594394)
126617427,41.1623639,-8.6164669,4,traffic_signals,,POINT (-8.6164669 41.1623639)
126617428,41.161719,-8.6113581,4,,,POINT (-8.6113581 41.161719)
126617430,41.1614797,-8.6095946,4,,,POINT (-8.6095946 41.1614797)
126617431,41.1610402,-8.607491,4,traffic_signals,,POINT (-8.607491 41.1610402)
126617433,41.1605885,-8.6052113,4,traffic_signals,,POINT (-8.6052113 41.1605885)
126634476,41.1618277,-8.6040169,3,,,POINT (-8.6040169 41.1618277)
126638962,41.1563482,-8.5946309,3,,,POINT (-8.5946309 41.1563482)
126646458,41.1493787,-8.6004463,3,,,POINT (-8.6004463 41.1493787)
126647309,41.1505026,-8.6002415,3,,,POINT (-8.6002415 41.1505026)
128560274,41.1580584,-8.6122531,3,,,POINT (-8.6122531 41.1580584)
128560275,41.1573409,-8.6126514,3,,,POINT (-8.6126514 41.1573409)
128560419,41.1776249,-8.614101,4,,,POINT (-8.614101 41.1776249)
128560421,41.1763888,-8.6140981,3,,,POINT (-8.6140981 41.1763888)
128560423,41.1757372,-8.6138761,3,,,POINT (-8.6138761 41.1757372)
128560426,41.1750383,-8.6136251,3,crossing,,POINT (-8.6136251 41.1750383)
128560429,41.1740298,-8.6132806,3,crossing,,POINT (-8.6132806 41.1740298)
128560437,41.1710753,-8.6128402,3,,,POINT (-8.6128402 41.1710753)
128560439,41.170369,-8.6129333,3,,,POINT (-8.6129333 41.170369)
128560446,41.167014,-8.6117522,3,,,POINT (-8.6117522 41.167014)
128560448,41.1649768,-8.6109795,3,,,POINT (-8.6109795 41.1649768)
128566335,41.1718292,-8.6127436,3,,,POINT (-8.6127436 41.1718292)
128571476,41.1747862,-8.6126213,3,,,POINT (-8.6126213 41.1747862)
128573633,41.1746522,-8.614183,3,,,POINT (-8.614183 41.1746522)
128575853,41.1741829,-8.6140155,3,,,POINT (-8.6140155 41.1741829)
128577510,41.174224,-8.6127136,3,,,POINT (-8.6127136 41.174224)
128577519,41.1741101,-8.6100682,3,,,POINT (-8.6100682 41.1741101)
128578704,41.1715231,-8.6059434,3,,,POINT (-8.6059434 41.1715231)
128578706,41.1714469,-8.6057483,4,traffic_signals,,POINT (-8.6057483 41.1714469)
128579264,41.1730101,-8.6074554,3,,,POINT (-8.6074554 41.1730101)
128579825,41.1728529,-8.6069436,3,,,POINT (-8.6069436 41.1728529)
128580161,41.1732029,-8.6056921,4,,,POINT (-8.6056921 41.1732029)
128581937,41.1725805,-8.6053176,3,,,POINT (-8.6053176 41.1725805)
128583756,41.1713109,-8.6039516,3,,,POINT (-8.6039516 41.1713109)
128583855,41.1713619,-8.6029104,3,,,POINT (-8.6029104 41.1713619)
128586501,41.1721787,-8.604757,3,,,POINT (-8.604757 41.1721787)
128587416,41.1717809,-8.6031044,3,,,POINT (-8.6031044 41.1717809)
128588858,41.1725769,-8.6043711,3,,,POINT (-8.6043711 41.1725769)
128597080,41.1736115,-8.6058176,4,,,POINT (-8.6058176 41.1736115)
128616477,41.1747826,-8.613633,3,,,POINT (-8.613633 41.1747826)
128616478,41.1742432,-8.6134764,3,,,POINT (-8.6134764 41.1742432)
128617100,41.1742477,-8.6132758,3,,,POINT (-8.6132758 41.1742477)
128617101,41.1748287,-8.6134579,3,,,POINT (-8.6134579 41.1748287)
128651490,41.1803973,-8.5821775,3,,,POINT (-8.5821775 41.1803973)
128651494,41.1802754,-8.5818418,3,,,POINT (-8.5818418 41.1802754)
128655622,41.1666721,-8.5705712,3,,,POINT (-8.5705712 41.1666721)
128655623,41.166486,-8.5706385,3,,,POINT (-8.5706385 41.166486)
128655624,41.1659188,-8.5707254,3,,,POINT (-8.5707254 41.1659188)
128655625,41.1648696,-8.5712544,3,,,POINT (-8.5712544 41.1648696)
128655629,41.1631607,-8.5728588,3,,,POINT (-8.5728588 41.1631607)
128655630,41.1616471,-8.5759967,3,,,POINT (-8.5759967 41.1616471)
128655633,41.1613361,-8.5764055,3,,,POINT (-8.5764055 41.1613361)
128655638,41.1597934,-8.5792965,3,,,POINT (-8.5792965 41.1597934)
128655642,41.1593437,-8.5805276,3,,,POINT (-8.5805276 41.1593437)
128655643,41.1593488,-8.5806482,3,,,POINT (-8.5806482 41.1593488)
128655654,41.1588866,-8.5829437,3,,,POINT (-8.5829437 41.1588866)
128655660,41.1576704,-8.5859858,3,,,POINT (-8.5859858 41.1576704)
128655671,41.1560823,-8.5938657,4,,,POINT (-8.5938657 41.1560823)
128668277,41.1537048,-8.6502854,4,,,POINT (-8.6502854 41.1537048)
